Instance,Min,Max,Mean,Median,Std
system design,6,46106,215.86729362591433,9.0,1737.3724789950409
concept design,6,35458,739.8784266984505,37.0,2589.113168773155
knowledge engineering,9,71069,1760.274486094317,83.0,6248.151055624023
system integration,6,62353,775.2647427854454,41.0,3629.6886519835084
product design,6,26713,740.4946091644205,31.0,2567.5569590257505
knowledge management,9,157699,1979.4142661179699,139.0,8007.338167625714
product support,8,59190,1579.8106995884773,162.0,4595.100959838246
decision support,7,137228,2313.8266296809984,60.0,7960.980909540281
detailed design,6,74030,1644.8155197657393,204.0,4981.849580495922
test report,4,151966,3981.8173784977907,578.0,10885.470639288607
information search,7,53718,596.5780780780781,50.0,3223.2478673652113
feature processing,8,186367,5300.80370942813,1049.0,13479.816961437782
knowledge interaction,10,81496,3087.120634920635,545.5,7478.799862853787
system specification,6,55394,782.6629213483146,115.0,3716.1409753043877
resource description,9,595267,6508.7140575079875,736.0,27887.37675693239
product data management,13,70628,2857.6201923076924,615.0,7134.32622676541
knowledge capture,8,247948,3744.310810810811,420.5,14402.660241958378
access product design data,22,167265,4927.706557377049,1752.0,12145.14557954402
engine analysis,7,28342,551.1919014084507,64.5,1988.5148299720875
configuration management,10,91923,4770.244642857143,834.5,10940.43072518856
data validation,4,13878,758.1231617647059,125.0,1624.071597204349
data storage,4,32688,821.2450199203187,24.0,3176.09776575824
knowledge base building,15,153368,3883.8326612903224,892.0,12623.410597741607
knowledge storage,8,150844,4901.953878406709,1145.0,12976.458492691596
project planning,7,169078,6018.525531914894,696.0,18970.60498419514
business process integration,17,268504,7661.461024498886,2236.0,20053.007070269658
failure management,8,412266,7925.409090909091,1193.5,29976.255160178018
preliminary design,6,31151,1618.298076923077,111.0,3628.3160101904014
ground test,5,52732,2352.6395939086296,419.0,5735.232111930752
calculation report,12,172277,10726.955844155844,3785.0,18527.786916030807
mission analysis,7,52187,1458.4427083333333,168.0,4265.398865416067
life cycle simulation,10,340256,11364.654545454545,2005.0,27253.415212988817
flight test,4,75421,3020.4156976744184,405.0,6976.875181700805
product verification,8,146750,5527.866071428572,1050.0,13378.510914470666
knowledge exploration,10,177472,4985.113496932516,956.5,12903.048187543252
customer service,7,251068,5893.503086419753,247.5,22928.44502131947
general assembly,8,98531,5115.679365079365,1552.0,9331.870578677848
context inference,8,150177,9717.697452229299,2039.5,19724.84639145326
conceptual modelling,11,340597,14340.860465116279,2265.0,37471.0051284458
workflow management,8,135287,3777.1872909698995,387.0,11071.325377920431
flight test report,12,459313,12963.488215488216,4109.0,34458.35929173274
knowledge based engineering,16,57380,1429.5839694656488,256.5,4668.5002584123795
disciplinary analysis,10,31360,1302.6796536796537,76.0,3358.640956528014
descriptive information generation,24,383892,21201.122448979593,11575.5,34129.08910262333
structural solver,11,569699,16040.579617834395,2461.0,49256.93280676624
manufacturing preparation,26,536914,34879.07534246575,7036.5,76936.38529740859
tooling development,8,13992,1846.4084507042253,741.0,2729.5045548337457
generate fem model,10,84124,8996.939393939394,1793.5,15229.791054774341
pattern analyis,857,3483,2457.0,3031.0,1146.320490380708
product data management system,22,70628,3222.764423076923,919.5,7407.9814945983235
share point,5,83690,3776.6611295681064,1275.0,7670.289135795017
express application,8,73743,2783.503246753247,697.5,6367.6029014872165
expert systems,6,110796,1452.658181818182,96.0,6307.360633669231
web server,3,133023,3639.4535519125684,65.5,12358.202342515393
file server,4,106066,4796.397694524496,291.0,13313.242298512394
java application,4,71423,1914.121794871795,223.5,6019.432283098385
workflow systems,9,114949,2087.5562913907283,360.0,7766.256315673501
python application,7,58037,3043.5862068965516,626.0,6622.429274259438
cad programming interface,17,119963,9029.852631578948,3337.5,16363.485915755378
oracle server,7,114337,12423.826086956522,1572.0,22135.23204027915
knowledge base,4,52447,245.68370986920334,10.0,1902.7165640909686
section description,8,109921,3063.687924016282,497.0,7235.202011849383
measurement data,5,92246,1188.5905349794239,110.5,5114.45755816112
knowledge graph,6,59434,1643.2254098360656,145.5,5344.5774586477355
manufacturing method,9,37188,1749.3825503355704,277.0,4520.595980779578
cad representation,4,82066,2433.191729323308,328.0,6799.388460787005
explicit geometry,9,195182,12441.639593908629,3670.0,25114.398226742906
cfd simulation data,14,47666,4544.658536585366,905.0,9132.626951642898
cfd code,4,54416,6005.875,677.0,11161.009418628242
sysml model,5,1161,33.265060240963855,9.0,128.0196788654135
nasa taxonomy,5,308948,24943.32608695652,5680.0,45588.54766970316
direct api,6,16940,1218.6610738255033,391.0,1977.7239059626843
ms word,3,5049,355.12422360248445,90.0,778.6513723893229
flat file,4,113202,9999.345323741007,3852.0,17232.676810449775
ms excel,3,8686,378.5,81.0,1063.9142822614988
link analysis,5,63169,2423.2063492063494,479.0,5771.231970821092
information classification,12,63099,1458.6457925636007,309.0,4475.262196101158
semantic representation,9,271517,4083.3018108651913,175.0,15523.014402048784
knowledge classification,9,122985,3723.0954356846473,554.5,9424.423996135882
data visualization,4,25652,827.2511627906977,58.5,2416.5480631612554
information sharing,8,33006,705.9104477611941,47.5,2530.0517578605054
design space visualization,13,501037,6671.219072164949,2195.5,26690.480691672128
knowledge discovery,9,109276,4045.974921630094,345.0,11555.545932527122
ontology modeling,9,157528,3662.3872053872055,194.0,13346.454618754602
multidisciplinary modeling,12,182012,6090.348432055749,551.0,17796.896780659605
express ontology,8,359259,7990.755395683454,453.5,29000.687701432118
information push,6,37070,3024.4236641221373,1139.5,5003.80534734281
enterprise resource planning,18,224886,14651.600823045268,3979.0,30455.638509641496
design blueprint,7,36077,2244.4819277108436,345.0,6335.526800514291
system arch,5,3359,134.71428571428572,10.0,441.5315850418508
data mining,4,28021,411.81666666666666,5.0,2095.2513603516777
visualization package,13,326762,25561.433734939757,8819.0,46602.860672280476
learning tools,8,217129,2631.0386473429953,369.0,15368.242477863558
cloud visualization,6,909661,25185.015789473684,6185.0,79051.0866188825
triple store,6,111605,8554.742647058823,1276.0,17360.878221803727
surrogate model repository,14,326562,29874.73469387755,9836.0,55735.61927081317
jupyter notebook,8,45492,4143.090909090909,8.0,13075.673161566068
knowledge mangement tool,3299,6607,4953.0,4953.0,1654.0
system definition,7,52426,956.9780927835052,138.5,3270.7214927723458
external web page,13,420377,21493.82608695652,8215.0,38692.65346587933
business logic,6,151568,5026.277070063694,746.0,14738.911833250368
live video,5,80702,6243.937984496124,1477.0,12195.316965443208
aerospace ontology,10,482441,13076.3875,1593.0,42689.32912903814
system synthesis,6,45321,909.358361774744,165.0,3471.6774276535584
ontological engineering,12,127261,4280.748538011696,276.0,13175.628020849115
implicit geometry,9,386050,17563.41739130435,4863.0,40155.22275825294
system identification,7,37236,1094.6067615658362,167.0,3122.2868814819954
automated reasoning,9,220298,11623.567073170732,1199.0,33737.60158717951
terminology recognition,12,367595,37848.134020618556,18721.0,55080.084228803986
design concepts formalization,109,65023,9763.022222222222,5131.0,13670.947414928067
word doc,5,770504,13492.432835820895,281.0,93348.1783283989
owl dl,3,4750,209.65151515151516,4.0,791.3541614608095
multimedia document processing,20,493031,26523.4776119403,10757.5,53728.85265513826
share documents,7,52125,4233.013513513513,984.5,8361.660417180898
semantic lexicon,9,117098,8653.125,561.5,20763.266853814413
mind map,4,132560,8346.173913043478,3289.0,15234.367100667376
lexical data,8,24427,1297.9375,254.0,3330.5255819980953
nextgen avionics systems,17,72517,16175.538461538461,3462.0,25944.36142569291
airspace system ontology,16,109276,25932.333333333332,15699.0,30482.73063686003
design parts,7,61632,1202.64,39.0,7008.214238334898
pdf files,4,483054,27946.30769230769,59.5,95107.07008652821
mdo process formulation,16,184437,12848.420289855072,3396.0,29557.309676070392
system architecting,7,1614,97.23684210526316,8.5,284.18872845259256
optimus workflow management tool,28,135287,10569.78947368421,1549.0,30018.592418662538
brics technology,6,54161,8214.07142857143,1513.0,14180.97677707854
process definitions,8,15720,1350.3529411764705,153.0,2998.715240085127
object definitions,7,19474,2161.586956521739,483.0,4018.614576194609
orbital space environment domain ontology,37,222419,31580.0,9957.0,54866.2707974343
physical sensing,9,323557,10577.842639593908,2231.0,31133.433859744666
problem solving,7,47212,580.1764705882352,8.0,4339.690102927439
interest profiling,9,236088,22111.928571428572,5042.5,46143.00984485642
activity profiling,9,135553,20676.91891891892,10885.0,29647.947336429483
wf execution,31,191347,37099.958333333336,9314.0,49253.551204861666
identify different tooling types,3582,300167,34554.6,9185.0,72250.51167689633
fortran application,8,71328,4293.267605633803,1178.0,10801.659262155568
word processor documents,150,307433,37338.269230769234,11493.5,71367.8426639368
convert file formats,23,90439,12894.583333333334,2148.0,25742.05290945257
tooling parts,8,25246,4930.8,1761.0,6434.51547204605
information clustering,12,24538,1914.4907975460123,618.0,3863.869469921333
managing project files,1738,248150,33195.166666666664,4361.5,62432.770582309844
digital mockup,8,126553,16668.647058823528,1514.0,31699.842794082597
software interlinking,117,2086,984.6,724.0,686.1607974811735
software interlinking tools,5864,5864,5864.0,5864.0,0.0
topic maps,6,62160,10935.836363636363,2854.0,15218.51562438291
inverted index,9,1190044,78267.80952380953,5033.0,250672.16477676277
point clouds,5,65537,6562.7692307692305,1908.0,13332.268680817784
swf software package rce,17,17,17.0,17.0,0.0
bond graphs,5,95164,14383.2,116.0,27238.777963778037
nasa ames function table processor scripts,61326,102911,79312.0,73699.0,17434.781004264627
vampzero element,261,22345,5542.909090909091,1812.0,7357.724011411353
airworthiness test,14,46630,5029.431818181818,551.0,9305.751868401625
eclipse plugin,7,190603,22534.541666666668,2815.5,43440.65392193045
accessory manufacture,10,87965,22046.222222222223,5590.0,28776.338269016083
nation decision,7,14302,650.34,117.0,1759.5219306391155
semantic information transferring,21,10264,4555.0,4615.0,3254.1232542493153
engine accessory purchase,17,22668,11803.0,12263.5,8837.89661061952
issue tc pc ac certification,15,106036,54480.28571428572,28236.0,44160.391421383436
electronic bulletin boards,5463,160185,45316.0,7808.0,66327.07068007752
knowledge systematisation,10,10,10.0,10.0,0.0
wide body transports,10,42103,17279.75,13503.0,17866.660073653944
tools needed,8,47635,7123.0,175.0,16545.550018919632
knowlege graph construction,1084,45195,33439.5,43739.5,18690.514472587427
formatted documents,1533,36059,18796.0,18796.0,17263.0
gkn fokker,4,2413,606.5,4.5,1042.983341190069
qfview web interface,11,11,11.0,11.0,0.0
cad representation vdsm,21,21,21.0,21.0,0.0
processe data,18,2327,1172.5,1172.5,1154.5
